time,Cache:DOSBytes,Cache:adminBytes,Cache:cacheTotalBytes,Cache:dataAdminBytes,Cache:dataBytes,Cache:lockBytes,Cache:lruDirtySize,Cache:lruMixedSize,Cache:nBINDeltasFetchMiss,Cache:nBINsFetch,Cache:nBINsFetchMiss,Cache:nBINsFetchMissRatio,Cache:nBinDeltaBlindOps,Cache:nBytesEvictedCACHEMODE,Cache:nBytesEvictedCRITICAL,Cache:nBytesEvictedDAEMON,Cache:nBytesEvictedEVICTORTHREAD,Cache:nBytesEvictedMANUAL,Cache:nCachedBINDeltas,Cache:nCachedBINs,Cache:nCachedUpperINs,Cache:nDirtyNodesEvicted,Cache:nEvictionRuns,Cache:nFullBINsMiss,Cache:nINCompactKey,Cache:nINNoTarget,Cache:nINSparseTarget,Cache:nLNsEvicted,Cache:nLNsFetch,Cache:nLNsFetchMiss,Cache:nNodesEvicted,Cache:nNodesMovedToDirtyLRU,Cache:nNodesMutated,Cache:nNodesPutBack,Cache:nNodesSkipped,Cache:nNodesStripped,Cache:nNodesTargeted,Cache:nRootNodesEvicted,Cache:nSharedCacheEnvironments,Cache:nThreadUnavailable,Cache:nUpperINsFetch,Cache:nUpperINsFetchMiss,Cache:sharedCacheTotalBytes,Checkpoints:lastCheckpointEnd,Checkpoints:lastCheckpointId,Checkpoints:lastCheckpointInterval,Checkpoints:lastCheckpointStart,Checkpoints:nCheckpoints,Checkpoints:nDeltaINFlush,Checkpoints:nFullBINFlush,Checkpoints:nFullINFlush,Cleaning:fileDeletionBacklog,Cleaning:maxUtilization,Cleaning:minUtilization,Cleaning:nBINDeltasCleaned,Cleaning:nBINDeltasDead,Cleaning:nBINDeltasMigrated,Cleaning:nBINDeltasObsolete,Cleaning:nCleanerDeletions,Cleaning:nCleanerDisksReads,Cleaning:nCleanerEntriesRead,Cleaning:nCleanerRuns,Cleaning:nClusterLNsProcessed,Cleaning:nINsCleaned,Cleaning:nINsDead,Cleaning:nINsMigrated,Cleaning:nINsObsolete,Cleaning:nLNQueueHits,Cleaning:nLNsCleaned,Cleaning:nLNsDead,Cleaning:nLNsExpired,Cleaning:nLNsLocked,Cleaning:nLNsMarked,Cleaning:nLNsMigrated,Cleaning:nLNsObsolete,Cleaning:nMarkLNsProcessed,Cleaning:nPendingLNsLocked,Cleaning:nPendingLNsProcessed,Cleaning:nRepeatIteratorReads,Cleaning:nRevisalRuns,Cleaning:nToBeCleanedLNsProcessed,Cleaning:nTwoPassRuns,Cleaning:pendingLNQueueSize,Cleaning:totalLogSize,Environment:btreeRelatchesRequired,Environment:environmentCreationTime,I/O:bufferBytes,I/O:endOfLog,I/O:nBytesReadFromWriteQueue,I/O:nBytesWrittenFromWriteQueue,I/O:nCacheMiss,I/O:nFSyncMaxTime,I/O:nFSyncRequests,I/O:nFSyncTime,I/O:nFSyncs,I/O:nFileOpens,I/O:nGroupCommitRequests,I/O:nGroupCommitWaits,I/O:nGrpCommitTimeouts,I/O:nLogBuffers,I/O:nLogFSyncs,I/O:nLogIntervalExceeded,I/O:nLogMaxGroupCommitThreshold,I/O:nNoFreeBuffer,I/O:nNotResident,I/O:nOpenFiles,I/O:nRandomReadBytes,I/O:nRandomReads,I/O:nRandomWriteBytes,I/O:nRandomWrites,I/O:nReadsFromWriteQueue,I/O:nRepeatFaultReads,I/O:nSequentialReadBytes,I/O:nSequentialReads,I/O:nSequentialWriteBytes,I/O:nSequentialWrites,I/O:nTempBufferWrites,I/O:nWriteQueueOverflow,I/O:nWriteQueueOverflowFailures,I/O:nWritesFromWriteQueue,Jvm:PS MarkSweep.count,Jvm:PS MarkSweep.time,Jvm:PS Scavenge.count,Jvm:PS Scavenge.time,Jvm:heap,Jvm:loadAverage,Locks:nLatchAcquireNoWaitUnsuccessful,Locks:nLatchAcquiresNoWaitSuccessful,Locks:nLatchAcquiresNoWaiters,Locks:nLatchAcquiresSelfOwned,Locks:nLatchAcquiresWithContention,Locks:nLatchReleases,Locks:nRequests,Locks:nWaits,Node Compression:cursorsBins,Node Compression:dbClosedBins,Node Compression:inCompQueueSize,Node Compression:nonEmptyBins,Node Compression:processedBins,Node Compression:splitBins,OffHeap:offHeapAllocFailure,OffHeap:offHeapAllocOverflow,OffHeap:offHeapBINsLoaded,OffHeap:offHeapBINsStored,OffHeap:offHeapCachedBINDeltas,OffHeap:offHeapCachedBINs,OffHeap:offHeapCachedLNs,OffHeap:offHeapCriticalNodesTargeted,OffHeap:offHeapDirtyNodesEvicted,OffHeap:offHeapLNsEvicted,OffHeap:offHeapLNsLoaded,OffHeap:offHeapLNsStored,OffHeap:offHeapLruSize,OffHeap:offHeapNodesEvicted,OffHeap:offHeapNodesMutated,OffHeap:offHeapNodesSkipped,OffHeap:offHeapNodesStripped,OffHeap:offHeapNodesTargeted,OffHeap:offHeapThreadUnavailable,OffHeap:offHeapTotalBlocks,OffHeap:offHeapTotalBytes,Op:cursorDelete,Op:cursorGetCurrent,Op:cursorGetFirst,Op:cursorGetLast,Op:cursorGetNext,Op:cursorGetNextDup,Op:cursorGetNextNoDup,Op:cursorGetPrev,Op:cursorGetPrevDup,Op:cursorGetPrevNoDup,Op:cursorPut,Op:cursorPutCurrent,Op:cursorPutNoDupData,Op:cursorPutNoOverwrite,Op:dbDelete,Op:dbGet,Op:dbGetSearchBoth,Op:dbPut,Op:dbPutNoDupData,Op:dbPutNoOverWrite,Op:dbRemoveSequence,Op:dosCursorGetNext,Op:nBinDeltaDeleteOps,Op:nBinDeltaGetOps,Op:nBinDeltaInsertOps,Op:nBinDeltaUpdateOps,Op:secondaryCursorDelete,Op:secondaryCursorGetCurrent,Op:secondaryCursorGetFirst,Op:secondaryCursorGetLast,Op:secondaryCursorGetNext,Op:secondaryCursorGetNextDup,Op:secondaryCursorGetNextNoDup,Op:secondaryCursorGetPrev,Op:secondaryCursorGetPrevDup,Op:secondaryCursorGetPrevNoDup,Op:secondaryDbDelete,Op:secondaryDbGet,Op:secondaryDbGetSearchBoth
2017-01-27 17:17:31.522 UTC, ,125,3164021,1288,18168, , ,4,1,38,4,0,11, , , , , , , ,4,4, ,3,1,2,2,6, ,37,10, , , , , , , , , , , , , ,19887,4,19309,19309,1, ,2,4, ,48,48, , , , , ,3,56, , , , , , , , , , , , , , , , , , , , , , , , ,1485537451229,3145728, , , ,20,3,1,3,1,4,1, , ,3,2, , , ,20, ,2048,1, , , , ,161792,37,683,1, , , , , , , , ,23625632, , , , , , , ,32, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2017-01-27 17:17:47.983 UTC, ,125,3160461,1288,14608, , ,3,1,23,3,0,13, , , , , , , ,3,3, ,2,1,2,1,5, ,25,11, , , , , , , , , , , , , ,19887,4, ,19309, , , , , ,48,48, , , , , ,3,64, , , , , , , , , , , , , , , , , , , , , , , , ,1485537467717,3145728, , , ,20,0, , , ,2, , , ,3, , , , ,20, ,2048,1, , , , ,157696,35, , , , , , , , , , ,22651112, , , , , , , ,15, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2017-01-27 17:23:48.182 UTC, ,125,3160461,1288,14608, , ,3,1,23,3,0,13, , , , , , , ,3,3, ,2,1,2,1,5, ,25,11, , , , , , , , , , , , , ,19887,4, ,19309, , , , , ,48,48, , , , , ,3,64, , , , , , , , , , , , , , , , , , , , , , , , ,1485537827920,3145728, , , ,20,0, , , ,2, , , ,3, , , , ,20, ,2048,1, , , , ,157696,35, , , , , , , , , , ,22652064, , , , , , , ,15, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2017-01-27 17:24:48.185 UTC, ,125,3175293,1288,29216,224, ,5, ,10,2,0,20, , , , , , , ,5,5, , , ,2,2,8, ,5,3, , , , , , , , , , , , , ,19887,4, ,19309, , , , , ,48,48, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1485537827920,3145728, , , ,7,0, , , ,1, , , ,3, , , , ,7,1, , , , , ,1,24458,9, , , , , , , , , , ,28442160, , , , , , , ,10, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2, ,2, , , , , , , , , , ,2, , , , , , , , , , , , , , , , , , , , , , , 
2017-01-27 17:25:48.188 UTC, ,125,3175293,1288,29216,224, ,5, ,1, , , , , , , , , ,5,5, , , ,2,2,8, , , , , , , , , , , , , , , , ,19887,4, ,19309, , , , , ,48,48, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1485537827920,3145728, , , , ,0, , , , , , , ,3, , , , , ,1, , , , , , , , , , , , , , , , , , ,28442160, , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , 
2017-01-27 17:26:48.190 UTC, ,125,3175293,1288,29216,224, ,5, , , , , , , , , , , ,5,5, , , ,2,2,8, , , , , , , , , , , , , , , , ,19887,4, ,19309, , , , , ,48,48, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1485537827920,3145728, , , , ,0, , , , , , , ,3, , , , , ,1, , , , , , , , , , , , , , , , , , ,28442160, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2017-01-27 17:27:48.193 UTC, ,125,3175293,1288,29216,224, ,5, , , , , , , , , , , ,5,5, , , ,2,2,8, , , , , , , , , , , , , , , , ,19887,4, ,19309, , , , , ,48,48, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1485537827920,3145728, , , , ,0, , , , , , , ,3, , , , , ,1, , , , , , , , , , , , , , , , , , ,28442160, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2017-01-27 17:28:48.197 UTC, ,125,3175293,1288,29216,224, ,5, , , , , , , , , , , ,5,5, , , ,2,2,8, , , , , , , , , , , , , , , , ,19887,4, ,19309, , , , , ,48,48, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1485537827920,3145728, , , , ,0, , , , , , , ,3, , , , , ,1, , , , , , , , , , , , , , , , , , ,28442160, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2017-01-27 17:29:48.199 UTC, ,125,3175293,1288,29216,224, ,5, , , , , , , , , , , ,5,5, , , ,2,2,8, , , , , , , , , , , , , , , , ,19887,4, ,19309, , , , , ,48,48, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1485537827920,3145728, , , , ,0, , , , , , , ,3, , , , , ,1, , , , , , , , , , , , , , , , , , ,29406936, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2017-01-27 17:30:48.201 UTC, ,125,3175293,1288,29216,224, ,5, , , , , , , , , , , ,5,5, , , ,2,2,8, , , , , , , , , , , , , , , , ,19887,4, ,19309, , , , , ,48,48, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1485537827920,3145728, , , , ,0, , , , , , , ,3, , , , , ,1, , , , , , , , , , , , , , , , , , ,29406936, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
